Trade partner,Type,Year,Amount
"EUROPE, TOTAL",Import,2003,239934
"EUROPE, TOTAL",Import,2004,276065
"EUROPE, TOTAL",Import,2005,366341
"EUROPE, TOTAL",Import,2006,526280
"EUROPE, TOTAL",Import,2007,734742
"EUROPE, TOTAL",Import,2008,1257611
"EUROPE, TOTAL",Import,2009,995887
"EUROPE, TOTAL",Import,2010,1153109
"EUROPE, TOTAL",Import,2011,1315555
"EUROPE, TOTAL",Import,2012,1304860
"EUROPE, TOTAL",Import,2013,1450608
"EUROPE, TOTAL",Import,2014,1597210
"EUROPE, TOTAL",Import,2015,2034986
"EUROPE, TOTAL",Import,2016,2829247
"EUROPE, TOTAL",Import,2017,3343288
"EUROPE, TOTAL",Import,2018,3850301
"AFRICA, TOTAL",Imports,2003,2468
"AFRICA, TOTAL",Imports,2004,690
"AFRICA, TOTAL",Imports,2005,1768
"AFRICA, TOTAL",Imports,2006,3496
"AFRICA, TOTAL",Imports,2007,3674
"AFRICA, TOTAL",Imports,2008,7695
"AFRICA, TOTAL",Imports,2009,5904
"AFRICA, TOTAL",Imports,2010,10897
"AFRICA, TOTAL",Imports,2011,11418
"AFRICA, TOTAL",Imports,2012,8889
"AFRICA, TOTAL",Imports,2013,11955
"AFRICA, TOTAL",Imports,2014,9421
"AFRICA, TOTAL",Imports,2015,19540
"AFRICA, TOTAL",Imports,2016,17756
"AFRICA, TOTAL",Imports,2017,33870
"AFRICA, TOTAL",Imports,2018,29837
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2003,50855
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2004,33055
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2005,37470
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2006,47068
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2007,65309
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2008,76416
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2009,65003
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2010,92869
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2011,109191
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2012,94264
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2013,107542
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2014,109735
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2015,112669
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2016,92278
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2017,132241
"NORTH- AND SOUTHAMERICA, TOTAL",Import,2018,167759
"ASIA, TOTAL",Imports,2003,6510
"ASIA, TOTAL",Imports,2004,4151
"ASIA, TOTAL",Imports,2005,4604
"ASIA, TOTAL",Imports,2006,9846
"ASIA, TOTAL",Imports,2007,18303
"ASIA, TOTAL",Imports,2008,40095
"ASIA, TOTAL",Imports,2009,20297
"ASIA, TOTAL",Imports,2010,31623
"ASIA, TOTAL",Imports,2011,26220
"ASIA, TOTAL",Imports,2012,127671
"ASIA, TOTAL",Imports,2013,215012
"ASIA, TOTAL",Imports,2014,210879
"ASIA, TOTAL",Imports,2015,213675
"ASIA, TOTAL",Imports,2016,255046
"ASIA, TOTAL",Imports,2017,343054
"ASIA, TOTAL",Imports,2018,372510
"OCEANIA, TOTAL",Imports,2003,3534
"OCEANIA, TOTAL",Imports,2004,1037
"OCEANIA, TOTAL",Imports,2005,957
"OCEANIA, TOTAL",Imports,2006,404
"OCEANIA, TOTAL",Imports,2007,168
"OCEANIA, TOTAL",Imports,2008,875
"OCEANIA, TOTAL",Imports,2009,2978
"OCEANIA, TOTAL",Imports,2010,3835
"OCEANIA, TOTAL",Imports,2011,4528
"OCEANIA, TOTAL",Imports,2012,3804
"OCEANIA, TOTAL",Imports,2013,1360
"OCEANIA, TOTAL",Imports,2014,13245
"OCEANIA, TOTAL",Imports,2015,18482
"OCEANIA, TOTAL",Imports,2016,20855
"OCEANIA, TOTAL",Imports,2017,5297
"OCEANIA, TOTAL",Imports,2018,4899
"EUROPE, TOTAL",Exports,2003,225683
"EUROPE, TOTAL",Exports,2004,246093
"EUROPE, TOTAL",Exports,2005,243526
"EUROPE, TOTAL",Exports,2006,254514
"EUROPE, TOTAL",Exports,2007,439876
"EUROPE, TOTAL",Exports,2008,624279
"EUROPE, TOTAL",Exports,2009,717444
"EUROPE, TOTAL",Exports,2010,826223
"EUROPE, TOTAL",Exports,2011,994001
"EUROPE, TOTAL",Exports,2012,1111691
"EUROPE, TOTAL",Exports,2013,1407755
"EUROPE, TOTAL",Exports,2014,1588173
"EUROPE, TOTAL",Exports,2015,1679267
"EUROPE, TOTAL",Exports,2016,2076596
"EUROPE, TOTAL",Exports,2017,2543212
"EUROPE, TOTAL",Exports,2018,2540234
"AFRICA, TOTAL",Export,2003,31
"AFRICA, TOTAL",Export,2004,317
"AFRICA, TOTAL",Export,2005,
"AFRICA, TOTAL",Export,2006,
"AFRICA, TOTAL",Export,2007,380
"AFRICA, TOTAL",Export,2008,8
"AFRICA, TOTAL",Export,2009,125
"AFRICA, TOTAL",Export,2010,154
"AFRICA, TOTAL",Export,2011,17
"AFRICA, TOTAL",Export,2012,579
"AFRICA, TOTAL",Export,2013,5
"AFRICA, TOTAL",Export,2014,14
"AFRICA, TOTAL",Export,2015,285
"AFRICA, TOTAL",Export,2016,1176
"AFRICA, TOTAL",Export,2017,1204
"AFRICA, TOTAL",Export,2018,970
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2003,7194
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2004,5579
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2005,5060
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2006,7309
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2007,11942
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2008,10414
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2009,8538
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2010,12732
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2011,14350
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2012,15781
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2013,15360
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2014,20348
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2015,24998
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2016,28400
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2017,48872
"NORTH- AND SOUTHAMERICA, TOTAL",Exports,2018,51372
"ASIA, TOTAL",Exports,2003,3349
"ASIA, TOTAL",Exports,2004,2786
"ASIA, TOTAL",Exports,2005,2070
"ASIA, TOTAL",Exports,2006,3196
"ASIA, TOTAL",Exports,2007,1222
"ASIA, TOTAL",Exports,2008,938
"ASIA, TOTAL",Exports,2009,1442
"ASIA, TOTAL",Exports,2010,1968
"ASIA, TOTAL",Exports,2011,2909
"ASIA, TOTAL",Exports,2012,4147
"ASIA, TOTAL",Exports,2013,91024
"ASIA, TOTAL",Exports,2014,83828
"ASIA, TOTAL",Exports,2015,262466
"ASIA, TOTAL",Exports,2016,330011
"ASIA, TOTAL",Exports,2017,350477
"ASIA, TOTAL",Exports,2018,296729
"OCEANIA, TOTAL",Exports,2003,762
"OCEANIA, TOTAL",Exports,2004,962
"OCEANIA, TOTAL",Exports,2005,1540
"OCEANIA, TOTAL",Exports,2006,10436
"OCEANIA, TOTAL",Exports,2007,14509
"OCEANIA, TOTAL",Exports,2008,17481
"OCEANIA, TOTAL",Exports,2009,15186
"OCEANIA, TOTAL",Exports,2010,14838
"OCEANIA, TOTAL",Exports,2011,26813
"OCEANIA, TOTAL",Exports,2012,33463
"OCEANIA, TOTAL",Exports,2013,18447
"OCEANIA, TOTAL",Exports,2014,28340
"OCEANIA, TOTAL",Exports,2015,15613
"OCEANIA, TOTAL",Exports,2016,11022
"OCEANIA, TOTAL",Exports,2017,7110
"OCEANIA, TOTAL",Exports,2018,14844